	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0133
	(0.00963)
1.ID	-0.598
	(0.984)
2.ID	0.990
	(0.984)
3.ID	-0.990
	(0.984)
4.ID	0.990
	(0.984)
5.ID	-0.775
	(0.984)
6.ID	-0.990
	(0.984)
7.ID	0.990
	(0.984)
8.ID	-0.775
	(0.984)
9.ID	-0.990
	(0.984)
10.ID	1.498
	(0.984)
12.ID	1.498
	(0.984)
15.ID	-0.990
	(0.984)
16.ID	0.990
	(0.984)
18.ID	-0.990
	(0.984)
19.ID	-0.775
	(0.984)
20.ID	0.990
	(0.984)
21.ID	-0.775
	(0.984)
22.ID	-0.598
	(0.984)
23.ID	0.990
	(0.984)
24.ID	0.990
	(0.984)
25.ID	-0.775
	(0.984)
26.ID	-1.644*
	(0.984)
27.ID	-0.990
	(0.984)
28.ID	-0.990
	(0.984)
29.ID	-0.990
	(0.984)
30.ID	-0.990
	(0.984)
31.ID	0.0818
	(0.984)
32.ID	0.990
	(0.984)
33.ID	0.990
	(0.984)
34.ID	0.990
	(0.984)
35.ID	-0.990
	(0.984)
36.ID	-0.990
	(0.984)
37.ID	-0.990
	(0.984)
38.ID	-0.990
	(0.984)
39.ID	0.990
	(0.984)
40.ID	0.990
	(0.984)
41.ID	-0.598
	(0.984)
42.ID	1.498
	(0.984)
43.ID	-0.990
	(0.984)
46.ID	-0.775
	(0.984)
47.ID	-1.264
	(0.984)
48.ID	0.990
	(0.984)
49.ID	0.990
	(0.984)
50.ID	0.990
	(0.984)
51.ID	-0.990
	(0.984)
52.ID	-0.775
	(0.984)
53.ID	0.990
	(0.984)
54.ID	-0.990
	(0.984)
55.ID	-0.990
	(0.984)
56.ID	0.990
	(0.984)
57.ID	-0.990
	(0.984)
58.ID	0.990
	(0.984)
59.ID	-0.317
	(0.984)
60.ID	-0.990
	(0.984)
61.ID	-0.990
	(0.984)
62.ID	-0.775
	(0.984)
63.ID	-0.990
	(0.984)
64.ID	1.133
	(0.996)
65.ID	-0.990
	(0.984)
66.ID	-0.775
	(0.984)
67.ID	0.990
	(0.984)
68.ID	0.587
	(0.984)
69.ID	-0.990
	(0.984)
70.ID	1.498
	(0.984)
71.ID	1.498
	(0.984)
72.ID	1.498
	(0.984)
73.ID	-0.990
	(0.984)
74.ID	0.990
	(0.984)
76.ID	-0.990
	(0.984)
77.ID	-0.775
	(0.984)
78.ID	-0.990
	(0.984)
79.ID	-0.990
	(0.984)
80.ID	0.990
	(0.984)
81.ID	-0.990
	(0.984)
82.ID	-0.598
	(0.984)
83.ID	-0.775
	(0.984)
85.ID	0.990
	(0.984)
86.ID	0.990
	(0.984)
87.ID	0.990
	(0.984)
88.ID	1.498
	(0.984)
89.ID	-0.990
	(0.984)
90.ID	-0.990
	(0.984)
91.ID	0.366
	(0.984)
92.ID	-1.644*
	(0.984)
93.ID	-0.598
	(0.984)
94.ID	-0.990
	(0.984)
95.ID	1.498
	(0.984)
96.ID	-0.990
	(0.984)
97.ID	-1.906*
	(0.984)
98.ID	-0.0978
	(0.984)
99.ID	-0.882
	(0.991)
100.ID	-0.775
	(0.984)
101.ID	-0.990
	(0.984)
102.ID	-1.644*
	(0.984)
103.ID	-0.990
	(0.984)
104.ID	-0.990
	(0.984)
105.ID	-0.990
	(0.984)
106.ID	1.498
	(0.984)
107.ID	1.498
	(0.984)
